,date,value
1048,2018-11-15,920
1049,2018-11-16,842
1050,2018-11-17,647
1051,2018-11-18,845
1052,2018-11-19,947
1053,2018-11-20,816
1054,2018-11-21,747
1055,2018-11-22,578
1056,2018-11-23,424
1057,2018-11-24,363
1058,2018-11-25,595
1059,2018-11-26,761
1060,2018-11-27,661
1061,2018-11-28,655
1062,2018-11-29,642
1063,2018-11-30,677
1064,2018-12-01,512
1065,2018-12-02,693
1066,2018-12-03,1026
1067,2018-12-04,711
1068,2018-12-05,639
1069,2018-12-06,566
1070,2018-12-07,510
1071,2018-12-08,387
1072,2018-12-09,529
1073,2018-12-10,646
1074,2018-12-11,679
1075,2018-12-12,509
1076,2018-12-13,546
1077,2018-12-14,496
1078,2018-12-15,342
1079,2018-12-16,426
1080,2018-12-17,578
1081,2018-12-18,534
1082,2018-12-19,511
1083,2018-12-20,580
1084,2018-12-21,436
1085,2018-12-22,328
1086,2018-12-23,428
1087,2018-12-24,499
1088,2018-12-25,463
1089,2018-12-26,456
1090,2018-12-27,447
1091,2018-12-28,465
1092,2018-12-29,336
1093,2018-12-30,353
1094,2018-12-31,265
1095,2019-01-01,314
1096,2019-01-02,407
1097,2019-01-03,477
1098,2019-01-04,419
1099,2019-01-05,369
1100,2019-01-06,364
1101,2019-01-07,471
1102,2019-01-08,361
1103,2019-01-09,360
1104,2019-01-10,358
1105,2019-01-11,380
1106,2019-01-12,277
1107,2019-01-13,205
1108,2019-01-14,279
1109,2019-01-15,322
1110,2019-01-16,198
1111,2019-01-17,191
1112,2019-01-18,207
1113,2019-01-19,183
1114,2019-01-20,185
1115,2019-01-21,234
1116,2019-01-22,230
1117,2019-01-23,237
1118,2019-01-24,206
1119,2019-01-25,227
1120,2019-01-26,209
1121,2019-01-27,146
1122,2019-01-28,140
1123,2019-01-29,131
1124,2019-01-30,126
1125,2019-01-31,133
1126,2019-02-01,168
1127,2019-02-02,99
1128,2019-02-03,121
1129,2019-02-04,78
1130,2019-02-05,84
1131,2019-02-06,65
1132,2019-02-07,76
1133,2019-02-08,91
1134,2019-02-09,83
1135,2019-02-10,114
1136,2019-02-11,180
1137,2019-02-12,210
1138,2019-02-13,155
1139,2019-02-14,170
1140,2019-02-15,149
1141,2019-02-16,104
1142,2019-02-17,139
1143,2019-02-18,254
1144,2019-02-19,296
1145,2019-02-20,259
1146,2019-02-21,288
1147,2019-02-22,318
1148,2019-02-23,249
1149,2019-02-24,266
1150,2019-02-25,516
1151,2019-02-26,537
1152,2019-02-27,429
1153,2019-02-28,346
1154,2019-03-01,407
1155,2019-03-02,330
1156,2019-03-03,459
1157,2019-03-04,817
1158,2019-03-05,719
1159,2019-03-06,729
1160,2019-03-07,649
1161,2019-03-08,609
1162,2019-03-09,554
1163,2019-03-10,678
1164,2019-03-11,900
1165,2019-03-12,767
1166,2019-03-13,798
1167,2019-03-14,805
1168,2019-03-15,762
1169,2019-03-16,749
1170,2019-03-17,792
1171,2019-03-18,1017
1172,2019-03-19,848
1173,2019-03-20,857
1174,2019-03-21,757
1175,2019-03-22,812
1176,2019-03-23,803
1177,2019-03-24,893
1178,2019-03-25,902
1179,2019-03-26,869
1180,2019-03-27,724
1181,2019-03-28,688
1182,2019-03-29,712
1183,2019-03-30,752
1184,2019-03-31,887
1185,2019-04-01,904
1186,2019-04-02,459
1187,2019-04-03,678
1188,2019-04-04,597
1189,2019-04-05,641
1190,2019-04-06,671
1191,2019-04-07,972
1192,2019-04-08,822
1193,2019-04-09,866
1194,2019-04-10,766
1195,2019-04-11,864
1196,2019-04-12,772
1197,2019-04-13,732
1198,2019-04-14,879
1199,2019-04-15,835
1200,2019-04-16,770
1201,2019-04-17,764
1202,2019-04-18,736
1203,2019-04-19,938
1204,2019-04-20,873
1205,2019-04-21,1117
1206,2019-04-22,1088
1207,2019-04-23,917
1208,2019-04-24,795
1209,2019-04-25,759
1210,2019-04-26,815
1211,2019-04-27,748
1212,2019-04-28,820
1213,2019-04-29,878
1214,2019-04-30,885
1215,2019-05-01,842
1216,2019-05-02,814
1217,2019-05-03,784
1218,2019-05-04,648
1219,2019-05-05,924
1220,2019-05-06,961
1221,2019-05-07,815
1222,2019-05-08,710
1223,2019-05-09,780
1224,2019-05-10,598
1225,2019-05-11,523
1226,2019-05-12,676
1227,2019-05-13,848
1228,2019-05-14,728
1229,2019-05-15,671
